SC_CODE	SC_NAME	SC_GROUP	SC_TYPE	OPEN	HIGH	LOW	CLOSE	LAST	PREVCLOSE	NO_TRADES	NO_OF_SHRS	NET_TURNOV	TDCLOINDI
502168	N C L IND.  	B 	Q	22.3	22.95	22	22.65	22.15	21.9	257	5145	116109	
502175	SAURAS.CEM. 	B 	Q	16	16	15.95	15.95	15.95	16	7	471	7522	
502180	SRI DIGV CEM	B 	Q	11.05	11.05	10.75	10.86	10.93	11.08	399	86162	932629	
502219	BOROSIL GLAS	B 	Q	745	745	745	745	745	741	1	25	18625	
502223	EXCEL GLASSS	B 	Q	1.17	1.27	1.17	1.27	1.27	1.23	8	5064	5942	
502281	TRIVENI GLAS	B 	Q	4.18	4.18	4.18	4.18	4.18	4.05	1	50	209	
502330	ANDHRA PAPER	B 	Q	272.4	280	271	272.4	272.4	271.05	745	14558	4027451	
502352	AURANG.PAPER	B 	Q	1.99	1.99	1.99	1.99	1.99	1.9	2	51	101	
502355	BALKRISH IND	B 	Q	342	346.8	339	341.5	341.5	340.3	787	10661	3659560	
502405	MYSORE PAPER	B 	Q	3.72	4	3.72	4	4	3.88	3	1040	4149	
502407	NATH PULP   	B 	Q	1.98	1.98	1.98	1.98	1.98	1.89	1	20	39	
502420	ORIENT PAPER	B 	Q	12.42	12.88	12.42	12.59	12.59	12.49	419	80138	1012202	
502445	CITADEL     	B 	Q	12.12	12.12	12.12	12.12	12.12	11.55	1	150	1818	
502448	ROLLATAINER 	B 	Q	171.95	180.25	170.4	180.15	180.25	171.7	190	10761	1859941	
502450	SESHA.PAPER 	B 	Q	189	189	189	189	189	185	1	1	189	
502455	SIRPUR PAPER	B 	Q	16.5	16.5	15.55	15.55	15.55	16.35	23	5608	87479	
502465	SPECIALITY P	T 	Q	2.18	2.39	2.18	2.39	2.39	2.29	6	1089	2518	
502587	RAMA PULP   	B 	Q	8.99	9.32	8.51	9	9	8.95	20	1922	16884	
502589	VAPI PAPER  	T 	Q	28.5	28.5	28.05	28.05	28.05	28.5	2	90	2553	
502742	SINTEX IND. 	B 	Q	34.25	36.2	34.05	35.85	35.85	34	10696	2713496	95911400	
502761	BLUE BLEND  	T 	Q	7.05	7.05	7.05	7.05	7.05	7.4	1	350	2467	
502820	DCM LTD.    	B 	Q	70.95	74.95	69.1	73.65	74.85	70.05	1206	11790	855065	
502865	FORBES & CO 	B 	Q	560.8	560.8	535	535	535	546	6	70	37837	
502873	H.P.COTTON  	B 	Q	16.8	16.8	16.8	16.8	16.8	17.35	2	70	1176	
502893	UNITEDINT   	B 	Q	60.1	60.1	60.1	60.1	60.1	63.25	1	1	60	
502901	JAMSHRI RANJ	T 	Q	23.4	23.4	22.55	22.55	22.55	22.95	5	180	4203	
502933	KATARE SPG. 	B 	Q	25	25	25	25	25	25.9	3	173	4325	
502937	KESORAM IND 	B 	Q	78.2	79	77.05	77.25	77.25	77.95	1459	108435	8446487	
502958	LAKSHMI MILL	B 	Q	1695	1695	1695	1695	1695	1700	1	1	1695	
502986	VARDH TEXT  	B 	Q	376.6	381.9	375.05	377.75	381.9	375.8	119	1880	710738	
503031	PENLAND LTD 	B 	Q	40.2	41.85	39.9	41.2	41.2	39.95	3579	440112	18098640	
503100	PHOENIX MILL	B 	Q	225	230	222.55	227.35	228.5	225.75	562	122455	27564840	
503101	MARATHON NEX	B 	Q	120	120	120	120	120	119.9	11	1838	220560	
503127	RAJA BAHADUR	T 	Q	1033.7	1033.7	1033.7	1033.7	1033.7	984.5	1	5	5168	
503162	REL.CHEMOTX 	B 	Q	29.65	30.15	28.1	28.1	28.1	28.75	5	259	7751	
503169	RUBY MILLS  	B 	Q	161	163.5	157	163	163	161.85	84	329	53121	
503205	SHREERAM    	T 	Q	89.8	89.8	89.8	89.8	89.8	85.55	1	10	898	
503310	SWAN ENG    	B 	Q	132	133.95	130.25	131.8	131	131.25	2259	306963	40331107	
503624	SVARAJ TRAD 	T 	Q	8.33	8.33	8.33	8.33	8.33	8.17	1	1	8	
503637	DHANLEELA   	T 	Q	206	206	206	206	206	206.5	92	42773	8811238	
503641	ZODIAC VEN  	T 	Q	162.15	162.15	162.15	162.15	162.15	159	1	1000	162150	
503657	VEER ENERGY 	B 	Q	4.41	4.77	4.35	4.66	4.53	4.4	988	1440148	6338819	
503663	OUTCTYTRVL  	T 	Q	291	291	291	291	291	291	54	92250	26844750	
503675	WAGEND      	B 	Q	11.5	11.99	10.98	10.98	11.98	11.55	10	2295	25311	
503685	MEDIA ONE   	T 	Q	39.75	39.75	38.15	38.6	39.75	38	116	10602	411691	
503691	SAHARA ONE  	B 	Q	64.9	64.9	64.9	64.9	64.9	61.9	2	15	973	
503699	GEOD LTD    	B 	Q	5.59	5.59	5.07	5.19	5.14	5.33	618	288271	1491519	
503722	BANSW.SYNTEX	B 	Q	50.1	50.1	50.1	50.1	50.1	50.1	2	200	10020	
503780	NRC LTD.    	T 	Q	2.5	2.6	2.5	2.6	2.6	2.5	4	1100	2840	
503796	DIGJAM LTD  	B 	Q	5.65	6	5.63	5.91	5.91	5.92	333	49653	293359	
503804	SHRI DINESH 	B 	Q	86.5	87.1	86	87.1	87.1	87.05	7	1462	127086	
503806	SRF LIMITED 	B 	Q	220.5	230.4	220.5	222.7	222.7	221.55	2368	79723	17983432	
503811	SIYARAM SILK	B 	Q	280	283.95	280	280	280	281	64	1121	314578	
503837	SHREE RAJSYN	B 	Q	7.52	7.52	7.52	7.52	7.52	7.42	1	1000	7520	
503863	SHREE MFG CO	T 	Q	11.99	11.99	11.99	11.99	11.99	12.62	1	25	299	
503873	PRI.SPINNING	T 	Q	4.15	4.15	4.15	4.15	4.15	4.35	1	1	4	
503881	HIND.SYNTEX 	B 	Q	9.62	10.02	9.62	9.66	9.66	10.12	4	730	7103	
503940	ASIAN ELECTR	T 	Q	3.18	3.47	3.18	3.47	3.47	3.31	76	35937	124245	
503960	BHARAT BIJLE	B 	Q	365	369.75	361.4	368.95	369	361	190	383	140339	
504000	ELPRO INTER 	B 	Q	240	240	240	240	240	243	1	10	2400	
504008	EMCO LTD.   	B 	Q	25.7	26.75	25.7	26	26	25.7	423	61320	1608212	
504028	GEE LTD     	B 	Q	18.5	18.5	18.5	18.5	18.5	19.25	1	62	1147	
504036	HIND.RECT   	B 	Q	42.5	43.45	42.5	43.2	43.2	42.5	104	6141	264105	
504058	NIPPOBATRY  	B 	Q	290	290	290	290	290	290	3	26	7540	
504067	ZENSAR TECH.	B 	Q	361.05	376	361.05	373.1	376	355.85	1532	27420	10125053	
504076	JYOTI LTD.  	B 	Q	47.25	48.05	47.25	48.05	48.05	47.25	9	1587	75341	
504084	KAYCEE IND  	B 	Q	3560	3560	3560	3560	3560	3568.8	1	7	24920	
504093	PANA ENERG  	B 	Q	49	51	49	51	51	49	4	630	32070	
504112	NELCO LTD.  	B 	Q	37.5	40.35	37.5	38.95	38.95	37.3	918	84291	3318040	
504132	PERM MAGNETS	B 	Q	7.47	7.47	7.47	7.47	7.47	7.12	3	1600	11952	
504180	STD.BATTERY 	B 	Q	14	14	14	14	14	14	1	1	14	
